,titulo,descripcion,precio,ciudad,fecha_ini,fecha_fin
0,Free tour por Valencia,En este free tour por Valencia descubriremos el conjunto monumental de su centro histórico apreciando detalles que pasan inadvertidos a los visitantes.,0,valencia,2024-11-01,2024-11-03
1,Entrada al Oceanogràfic,Preparaos para adentraros en el increíble mundo marino con esta entrada para el Oceanogràfic de la Ciudad de las Artes y de las Ciencias de Valencia.,37,valencia,2024-11-01,2024-11-03
2,Tour de Valencia al completo con entradas,"¿Queréis conocer los lugares más famosos de Valencia? En este tour visitaremos la Lonja de la Seda, la iglesia de San Nicolás y la catedral. ¡Incluye entradas!",39,valencia,2024-11-01,2024-11-03
3,Entrada a la Ciudad de las Artes y las Ciencias,Comprad ya la entrada a la Ciudad de las Artes y las Ciencias de Valencia y obtendréis la mejor combinación para visitar este centro de divulgación científica.,45.20,valencia,2024-11-01,2024-11-03
4,Traslados en Valencia,"Servicio privado, puerta a puerta y al mejor precio. Un chófer os esperará en el aeropuerto, en el hotel o donde queráis para llevaros a vuestro destino. Rápido y seguro.",35,valencia,2024-11-01,2024-11-03
5,Excursión a La Albufera,"En esta excursión al Parque Natural de la Albufera de Valencia visitaremos este conjunto de bosques, arrozales y lagos. ¡Un día único junto al Mediterráneo!",55,valencia,2024-11-01,2024-11-03
6,Autobús turístico de Valencia,Descubrid la capital del Turia a bordo del autobús turístico de Valencia. Podréis subir y bajar tantas veces como deseéis en diferentes puntos de la ciudad.,22,valencia,2024-11-01,2024-11-03
7,Excursión a las cuevas de San José,"Viajaremos hasta Castellón y visitaremos las laberínticas cuevas de San José, en las que recorreremos en barca el río subterráneo navegable más largo de Europa.",69,valencia,2024-11-01,2024-11-03
8,Entrada al Centro de Arte Hortensia Herrero,¿Os gusta la escultura y pintura contemporáneas? Con esta entrada al Centro de Arte Hortensia Herrero visitaréis este gran centro expositivo de Valencia.,9,valencia,2024-11-01,2024-11-03
9,Tour privado por Valencia,Disfrutad de Valencia con este tour privado. Dispondréis de un guía en exclusiva y recorreréis los rincones más emblemáticos de la ciudad de la paella.,120,valencia,2024-11-01,2024-11-03
10,Free tour por la Valencia macabra,La capital del Turia ha sido el escenario de muchas historias que os harán temblar. ¿Os atrevéis a descubrirlas en este free tour por la Valencia macabra?,0,valencia,2024-11-01,2024-11-03
11,Tarjeta eSIM Civitatis España,"Si vais a viajar por España, con esta tarjeta eSIM con Internet podréis conectaros fácilmente a la red y mantener el contacto con vuestros familiares y amigos.",4.10,valencia,2024-11-01,2024-11-03
12,Free tour de los misterios y leyendas de Valencia,"En el free tour de los misterios y leyendas de Valencia descubriremos el lado más sórdido de la ciudad reviviendo ejecuciones, crímenes, epidemias y asaltos.",0,valencia,2024-11-01,2024-11-03
13,Entrada a la iglesia de San Nicolás,Con esta entrada a la iglesia de San Nicolás podréis visitar la Capilla Sixtina valenciana. ¡Quedaréis impresionados ante la decoración de sus bóvedas!,11,valencia,2024-11-01,2024-11-03
14,Cena con espectáculo flamenco en Valencia,"Animaos a vivir una noche llena de duende asistiendo a este espectáculo flamenco en Valencia. Además, disfrutaréis de una completa y deliciosa cena.",55,valencia,2024-11-01,2024-11-03
15,Entrada a Bioparc Valencia,Con la entrada a Bioparc Valencia os sumergiréis en la vida salvaje de los 5 continentes y conoceréis cómo se comportan los animales en su hábitat natural.,29.80,valencia,2024-11-01,2024-11-03
16,Paseo en catamarán por Valencia,En este paseo en catamarán a vela por Valencia viviréis una experiencia única mientras disfrutáis de unas excelentes vistas de la ciudad desde el mar.,15,valencia,2024-11-01,2024-11-03
17,Excursión a Peñíscola,En esta excursión a Peñíscola desde Valencia para conocer la historia del Papa Luna y descubrir el encanto de uno de los pueblos más bonitos de España.,75,valencia,2024-11-01,2024-11-03
18,"Excursión a Altea, Villajoyosa y Benidorm","En esta excursión a Altea, Villajoyosa y Benidorm visitaremos tres de las localidades más bonitas de la provincia de Alicante. ¡Os cautivarán!",95,valencia,2024-11-01,2024-11-03
19,Entrada al Museo Iluziona de Valencia,Descubrid las leyendas de Valencia a través de ilusiones ópticas con esta entrada al Museo Iluziona. ¡Preparaos para desafiar vuestra percepción de la realidad!,11,valencia,2024-11-01,2024-11-03
20,Excursión a Montanejos,"¿Os gusta caminar por la naturaleza? En esta excursión a Montanejos descubriremos una hermosa villa termal de Castellón, donde haremos una ruta de senderismo.",45,valencia,2024-11-01,2024-11-03
21,Entrada al Hemisfèric,Con esta entrada al Hemisfèric visitaréis uno de los edificios más emblemáticos de la Ciudad de las Artes de Valencia y disfrutaréis de una de sus proyecciones.,8.60,valencia,2024-11-01,2024-11-03
22,Entrada al Museo de las Ciencias Príncipe Felipe,Con esta entrada para el Museo de las Ciencias Príncipe Felipe podréis disfrutar de una divertida experiencia de aprendizaje en la Ciudad de las Artes.,9,valencia,2024-11-01,2024-11-03
23,Tour en tuk tuk por Valencia,Acompañadnos a descubrir el centro histórico de Valencia a bordo de un cómodo vehículo tuk tuk. ¡Una forma amena y divertida de conocer la ciudad del Turia!,70,valencia,2024-11-01,2024-11-03
24,Tour de los Borgia por Valencia + Visita a la catedral,En el tour de los Borgia por Valencia con visita a la catedral descubriremos el legado de esta poderosa familia que llegó a ostentar el papado en dos ocasiones.,23,valencia,2024-11-01,2024-11-03
25,Free tour por la Valencia modernista,En este free tour nos adentraremos en la Valencia modernista y descubriremos los lugares y monumentos menos visitados del centro histórico de la ciudad.,0,valencia,2024-11-01,2024-11-03
26,Espectáculo flamenco en el tablao Palosanto,La capital del Turia también tiende duende. Dejaos llevar por sus ritmos en este espectáculo flamenco en el tablao Palosanto de Valencia. ¡Puro arte y pasión!,18,valencia,2024-11-01,2024-11-03
27,Tour del estadio de Mestalla,"Acompañadnos a descubrir los secretos de uno de los estadios de fútbol más antiguos de España con este tour por el Mestalla, la casa del Valencia C.F.",15.30,valencia,2024-11-01,2024-11-03
28,Entrada al Museo de la Seda,Descubriréis por qué fue tan importante el comercio de la seda en Valencia visitando el Museo de la Seda. Esta entrada incluye además audioguía en español.,9,valencia,2024-11-01,2024-11-03
29,Free tour por Valencia en bicicleta,En este free tour por Valencia en bicicleta pedalearemos por los puntos más emblemáticos del centro y llegaremos hasta la Ciudad de las Artes y las Ciencias.,0,valencia,2024-11-01,2024-11-03
30,Excursión a Morella y Peñíscola,"Viajad a Castellón y visitad Morella, un bonito pueblo medieval levantado en vertical, y Peñíscola, donde conoceréis la historia del osado Papa Luna.",110,valencia,2024-11-01,2024-11-03
31,Excursión a Bocairente,"Viajad al interior de Valencia y descubrid Bocairente, una preciosa localidad medieval. En esta excursión visitaréis las Cuevas Árabes y su casco histórico.",70,valencia,2024-11-01,2024-11-03
32,Autobús turístico de la Albufera + Paseo en barca,"En el autobús turístico de la Albufera descubriréis este importante espacio natural de Valencia de la manera más cómoda. Además, incluye un paseo en barca.",22,valencia,2024-11-01,2024-11-03
33,Paseo en catamarán por Valencia con comida,En este paseo en catamarán por Valencia podréis bañaros en el Mediterráneo y comeros una deliciosa paella mientras admiráis la ciudad desde el mar.,42,valencia,2024-11-01,2024-11-03
34,Visita guiada por la Ciudad de las Artes con entradas,El Museo Príncipe Felipe y el Oceanográfic son las atracciones más famosas de la Ciudad de las Artes y las Ciencias de Valencia. Este tour incluye las entradas.,60,valencia,2024-11-01,2024-11-03
35,Valencia Tourist Card,"La tarjeta turística de Valencia os permitirá ahorrar con importantes descuentos en museos y atracciones, además del uso ilimitado del transporte público.",15,valencia,2024-11-01,2024-11-03
36,Tour del Santo Grial,"En este tour del Santo Grial veremos una reliquia única que se custodia en la catedral de Valencia. Además, descubriremos cómo llegó a la ciudad del Turia.",16,valencia,2024-11-01,2024-11-03
37,Excursión a Sagunto,En esta excursión a Sagunto seguiréis las huellas de los romanos en la Comunidad Valenciana. Descubriréis vestigios como el teatro o la Vía Augusta.,45,valencia,2024-11-01,2024-11-03
38,Tour de la Guerra Civil Española,Acompañadnos a descubrir qué huellas se conservan en Valencia del conflicto bélico acontecido en España entre 1936 y 1939 en este tour de la Guerra Civil.,12,valencia,2024-11-01,2024-11-03
39,Hard Rock Cafe Valencia sin colas,¿Queréis sentiros como reyes del rock? El Hard Rock Cafe Valencia os espera con un rico menú para disfrutar de la comida americana rodeados de música.,30,valencia,2024-11-01,2024-11-03
40,Free tour por Valencia,En este free tour por Valencia descubriremos el conjunto monumental de su centro histórico apreciando detalles que pasan inadvertidos a los visitantes.,0,valencia,2024-11-08,2024-11-10
41,Entrada al Oceanogràfic,Preparaos para adentraros en el increíble mundo marino con esta entrada para el Oceanogràfic de la Ciudad de las Artes y de las Ciencias de Valencia.,37,valencia,2024-11-08,2024-11-10
42,Tour de Valencia al completo con entradas,"¿Queréis conocer los lugares más famosos de Valencia? En este tour visitaremos la Lonja de la Seda, la iglesia de San Nicolás y la catedral. ¡Incluye entradas!",39,valencia,2024-11-08,2024-11-10
43,Entrada a la Ciudad de las Artes y las Ciencias,Comprad ya la entrada a la Ciudad de las Artes y las Ciencias de Valencia y obtendréis la mejor combinación para visitar este centro de divulgación científica.,45.20,valencia,2024-11-08,2024-11-10
44,Traslados en Valencia,"Servicio privado, puerta a puerta y al mejor precio. Un chófer os esperará en el aeropuerto, en el hotel o donde queráis para llevaros a vuestro destino. Rápido y seguro.",35,valencia,2024-11-08,2024-11-10
45,Excursión a La Albufera,"En esta excursión al Parque Natural de la Albufera de Valencia visitaremos este conjunto de bosques, arrozales y lagos. ¡Un día único junto al Mediterráneo!",55,valencia,2024-11-08,2024-11-10
46,Autobús turístico de Valencia,Descubrid la capital del Turia a bordo del autobús turístico de Valencia. Podréis subir y bajar tantas veces como deseéis en diferentes puntos de la ciudad.,22,valencia,2024-11-08,2024-11-10
47,Excursión a las cuevas de San José,"Viajaremos hasta Castellón y visitaremos las laberínticas cuevas de San José, en las que recorreremos en barca el río subterráneo navegable más largo de Europa.",69,valencia,2024-11-08,2024-11-10
48,Entrada al Centro de Arte Hortensia Herrero,¿Os gusta la escultura y pintura contemporáneas? Con esta entrada al Centro de Arte Hortensia Herrero visitaréis este gran centro expositivo de Valencia.,9,valencia,2024-11-08,2024-11-10
49,Tour privado por Valencia,Disfrutad de Valencia con este tour privado. Dispondréis de un guía en exclusiva y recorreréis los rincones más emblemáticos de la ciudad de la paella.,120,valencia,2024-11-08,2024-11-10
50,Free tour por la Valencia macabra,La capital del Turia ha sido el escenario de muchas historias que os harán temblar. ¿Os atrevéis a descubrirlas en este free tour por la Valencia macabra?,0,valencia,2024-11-08,2024-11-10
51,Tarjeta eSIM Civitatis España,"Si vais a viajar por España, con esta tarjeta eSIM con Internet podréis conectaros fácilmente a la red y mantener el contacto con vuestros familiares y amigos.",4.10,valencia,2024-11-08,2024-11-10
52,Free tour de los misterios y leyendas de Valencia,"En el free tour de los misterios y leyendas de Valencia descubriremos el lado más sórdido de la ciudad reviviendo ejecuciones, crímenes, epidemias y asaltos.",0,valencia,2024-11-08,2024-11-10
53,Entrada a la iglesia de San Nicolás,Con esta entrada a la iglesia de San Nicolás podréis visitar la Capilla Sixtina valenciana. ¡Quedaréis impresionados ante la decoración de sus bóvedas!,11,valencia,2024-11-08,2024-11-10
54,Cena con espectáculo flamenco en Valencia,"Animaos a vivir una noche llena de duende asistiendo a este espectáculo flamenco en Valencia. Además, disfrutaréis de una completa y deliciosa cena.",55,valencia,2024-11-08,2024-11-10
55,Entrada a Bioparc Valencia,Con la entrada a Bioparc Valencia os sumergiréis en la vida salvaje de los 5 continentes y conoceréis cómo se comportan los animales en su hábitat natural.,29.80,valencia,2024-11-08,2024-11-10
56,Paseo en catamarán por Valencia,En este paseo en catamarán a vela por Valencia viviréis una experiencia única mientras disfrutáis de unas excelentes vistas de la ciudad desde el mar.,15,valencia,2024-11-08,2024-11-10
57,Excursión a Peñíscola,En esta excursión a Peñíscola desde Valencia para conocer la historia del Papa Luna y descubrir el encanto de uno de los pueblos más bonitos de España.,75,valencia,2024-11-08,2024-11-10
58,"Excursión a Altea, Villajoyosa y Benidorm","En esta excursión a Altea, Villajoyosa y Benidorm visitaremos tres de las localidades más bonitas de la provincia de Alicante. ¡Os cautivarán!",95,valencia,2024-11-08,2024-11-10
59,Entrada al Museo Iluziona de Valencia,Descubrid las leyendas de Valencia a través de ilusiones ópticas con esta entrada al Museo Iluziona. ¡Preparaos para desafiar vuestra percepción de la realidad!,11,valencia,2024-11-08,2024-11-10
60,Excursión a Montanejos,"¿Os gusta caminar por la naturaleza? En esta excursión a Montanejos descubriremos una hermosa villa termal de Castellón, donde haremos una ruta de senderismo.",45,valencia,2024-11-08,2024-11-10
61,Entrada al Hemisfèric,Con esta entrada al Hemisfèric visitaréis uno de los edificios más emblemáticos de la Ciudad de las Artes de Valencia y disfrutaréis de una de sus proyecciones.,8.60,valencia,2024-11-08,2024-11-10
62,Entrada al Museo de las Ciencias Príncipe Felipe,Con esta entrada para el Museo de las Ciencias Príncipe Felipe podréis disfrutar de una divertida experiencia de aprendizaje en la Ciudad de las Artes.,9,valencia,2024-11-08,2024-11-10
63,Tour en tuk tuk por Valencia,Acompañadnos a descubrir el centro histórico de Valencia a bordo de un cómodo vehículo tuk tuk. ¡Una forma amena y divertida de conocer la ciudad del Turia!,70,valencia,2024-11-08,2024-11-10
64,Tour de los Borgia por Valencia + Visita a la catedral,En el tour de los Borgia por Valencia con visita a la catedral descubriremos el legado de esta poderosa familia que llegó a ostentar el papado en dos ocasiones.,23,valencia,2024-11-08,2024-11-10
65,Free tour por la Valencia modernista,En este free tour nos adentraremos en la Valencia modernista y descubriremos los lugares y monumentos menos visitados del centro histórico de la ciudad.,0,valencia,2024-11-08,2024-11-10
66,Espectáculo flamenco en el tablao Palosanto,La capital del Turia también tiende duende. Dejaos llevar por sus ritmos en este espectáculo flamenco en el tablao Palosanto de Valencia. ¡Puro arte y pasión!,18,valencia,2024-11-08,2024-11-10
67,Tour del estadio de Mestalla,"Acompañadnos a descubrir los secretos de uno de los estadios de fútbol más antiguos de España con este tour por el Mestalla, la casa del Valencia C.F.",15.30,valencia,2024-11-08,2024-11-10
68,Entrada al Museo de la Seda,Descubriréis por qué fue tan importante el comercio de la seda en Valencia visitando el Museo de la Seda. Esta entrada incluye además audioguía en español.,9,valencia,2024-11-08,2024-11-10
69,Free tour por Valencia en bicicleta,En este free tour por Valencia en bicicleta pedalearemos por los puntos más emblemáticos del centro y llegaremos hasta la Ciudad de las Artes y las Ciencias.,0,valencia,2024-11-08,2024-11-10
70,Excursión a Morella y Peñíscola,"Viajad a Castellón y visitad Morella, un bonito pueblo medieval levantado en vertical, y Peñíscola, donde conoceréis la historia del osado Papa Luna.",110,valencia,2024-11-08,2024-11-10
71,Excursión a Bocairente,"Viajad al interior de Valencia y descubrid Bocairente, una preciosa localidad medieval. En esta excursión visitaréis las Cuevas Árabes y su casco histórico.",70,valencia,2024-11-08,2024-11-10
72,Autobús turístico de la Albufera + Paseo en barca,"En el autobús turístico de la Albufera descubriréis este importante espacio natural de Valencia de la manera más cómoda. Además, incluye un paseo en barca.",22,valencia,2024-11-08,2024-11-10
73,Paseo en catamarán por Valencia con comida,En este paseo en catamarán por Valencia podréis bañaros en el Mediterráneo y comeros una deliciosa paella mientras admiráis la ciudad desde el mar.,42,valencia,2024-11-08,2024-11-10
74,Visita guiada por la Ciudad de las Artes con entradas,El Museo Príncipe Felipe y el Oceanográfic son las atracciones más famosas de la Ciudad de las Artes y las Ciencias de Valencia. Este tour incluye las entradas.,60,valencia,2024-11-08,2024-11-10
75,Valencia Tourist Card,"La tarjeta turística de Valencia os permitirá ahorrar con importantes descuentos en museos y atracciones, además del uso ilimitado del transporte público.",15,valencia,2024-11-08,2024-11-10
76,Tour del Santo Grial,"En este tour del Santo Grial veremos una reliquia única que se custodia en la catedral de Valencia. Además, descubriremos cómo llegó a la ciudad del Turia.",16,valencia,2024-11-08,2024-11-10
77,Excursión a Sagunto,En esta excursión a Sagunto seguiréis las huellas de los romanos en la Comunidad Valenciana. Descubriréis vestigios como el teatro o la Vía Augusta.,45,valencia,2024-11-08,2024-11-10
78,Tour de la Guerra Civil Española,Acompañadnos a descubrir qué huellas se conservan en Valencia del conflicto bélico acontecido en España entre 1936 y 1939 en este tour de la Guerra Civil.,12,valencia,2024-11-08,2024-11-10
79,Hard Rock Cafe Valencia sin colas,¿Queréis sentiros como reyes del rock? El Hard Rock Cafe Valencia os espera con un rico menú para disfrutar de la comida americana rodeados de música.,30,valencia,2024-11-08,2024-11-10
