,titulo,precio,ciudad,fecha_ini
0,Free tour por valencia,0.0,Valencia,2024-11-01
1,Entrada al oceanogràfic,37.0,Valencia,2024-11-01
2,Tour de valencia al completo con entradas,39.0,Valencia,2024-11-01
3,Entrada a la ciudad de las artes y las ciencias,45.2,Valencia,2024-11-01
4,Traslados en valencia,35.0,Valencia,2024-11-01
5,Excursión a la albufera,55.0,Valencia,2024-11-01
6,Autobús turístico de valencia,22.0,Valencia,2024-11-01
7,Entrada al centro de arte hortensia herrero,9.0,Valencia,2024-11-01
8,Excursión a las cuevas de san josé,69.0,Valencia,2024-11-01
9,Tour privado por valencia,120.0,Valencia,2024-11-01
10,Free tour por la valencia macabra,0.0,Valencia,2024-11-01
11,Tarjeta esim civitatis españa,4.1,Valencia,2024-11-01
12,Free tour de los misterios y leyendas de valencia,0.0,Valencia,2024-11-01
13,Entrada a la iglesia de san nicolás,11.0,Valencia,2024-11-01
14,Cena con espectáculo flamenco en valencia,55.0,Valencia,2024-11-01
15,Entrada a bioparc valencia,29.8,Valencia,2024-11-01
16,Paseo en catamarán por valencia,15.0,Valencia,2024-11-01
17,Excursión a peñíscola,75.0,Valencia,2024-11-01
18,"Excursión a altea, villajoyosa y benidorm",95.0,Valencia,2024-11-01
19,Entrada al museo iluziona de valencia,11.0,Valencia,2024-11-01
20,Excursión a montanejos,45.0,Valencia,2024-11-01
21,Entrada al hemisfèric,8.6,Valencia,2024-11-01
22,Entrada al museo de las ciencias príncipe felipe,9.0,Valencia,2024-11-01
23,Tour en tuk tuk por valencia,70.0,Valencia,2024-11-01
24,Tour del estadio de mestalla,15.3,Valencia,2024-11-01
25,Tour de los borgia por valencia + visita a la catedral,23.0,Valencia,2024-11-01
26,Free tour por la valencia modernista,0.0,Valencia,2024-11-01
27,Espectáculo flamenco en el tablao palosanto,18.0,Valencia,2024-11-01
28,Entrada al museo de la seda,9.0,Valencia,2024-11-01
29,Tour en segway por valencia,29.7,Valencia,2024-11-01
30,Free tour por valencia en bicicleta,0.0,Valencia,2024-11-01
31,Excursión a morella y peñíscola,110.0,Valencia,2024-11-01
32,Excursión a bocairente,70.0,Valencia,2024-11-01
33,Autobús turístico de la albufera + paseo en barca,22.0,Valencia,2024-11-01
34,Paseo en catamarán por valencia con comida,42.0,Valencia,2024-11-01
35,Visita guiada por la ciudad de las artes con entradas,60.0,Valencia,2024-11-01
36,Excursión a las bodegas de requena,79.0,Valencia,2024-11-01
37,Valencia tourist card,15.0,Valencia,2024-11-01
38,Tour del santo grial,16.0,Valencia,2024-11-01
39,Tour de la guerra civil española,12.0,Valencia,2024-11-01
40,Free tour por valencia,0.0,Valencia,2024-11-08
41,Entrada al oceanogràfic,37.0,Valencia,2024-11-08
42,Tour de valencia al completo con entradas,39.0,Valencia,2024-11-08
43,Entrada a la ciudad de las artes y las ciencias,45.2,Valencia,2024-11-08
44,Excursión a la albufera,55.0,Valencia,2024-11-08
45,Traslados en valencia,35.0,Valencia,2024-11-08
46,Autobús turístico de valencia,22.0,Valencia,2024-11-08
47,Entrada al centro de arte hortensia herrero,9.0,Valencia,2024-11-08
48,Excursión a las cuevas de san josé,69.0,Valencia,2024-11-08
49,Tour privado por valencia,120.0,Valencia,2024-11-08
50,Free tour por la valencia macabra,0.0,Valencia,2024-11-08
51,Free tour de los misterios y leyendas de valencia,0.0,Valencia,2024-11-08
52,Tarjeta esim civitatis españa,4.1,Valencia,2024-11-08
53,Entrada a la iglesia de san nicolás,11.0,Valencia,2024-11-08
54,Cena con espectáculo flamenco en valencia,55.0,Valencia,2024-11-08
55,Entrada a bioparc valencia,29.8,Valencia,2024-11-08
56,Paseo en catamarán por valencia,15.0,Valencia,2024-11-08
57,Excursión a peñíscola,75.0,Valencia,2024-11-08
58,"Excursión a altea, villajoyosa y benidorm",95.0,Valencia,2024-11-08
59,Entrada al museo iluziona de valencia,11.0,Valencia,2024-11-08
60,Excursión a montanejos,45.0,Valencia,2024-11-08
61,Entrada al hemisfèric,8.6,Valencia,2024-11-08
62,Entrada al museo de las ciencias príncipe felipe,9.0,Valencia,2024-11-08
63,Tour en tuk tuk por valencia,70.0,Valencia,2024-11-08
64,Tour del estadio de mestalla,15.3,Valencia,2024-11-08
65,Tour de los borgia por valencia + visita a la catedral,23.0,Valencia,2024-11-08
66,Free tour por la valencia modernista,0.0,Valencia,2024-11-08
67,Espectáculo flamenco en el tablao palosanto,18.0,Valencia,2024-11-08
68,Entrada al museo de la seda,9.0,Valencia,2024-11-08
69,Tour en segway por valencia,29.7,Valencia,2024-11-08
70,Free tour por valencia en bicicleta,0.0,Valencia,2024-11-08
71,Excursión a morella y peñíscola,110.0,Valencia,2024-11-08
72,Excursión a bocairente,70.0,Valencia,2024-11-08
73,Autobús turístico de la albufera + paseo en barca,22.0,Valencia,2024-11-08
74,Paseo en catamarán por valencia con comida,42.0,Valencia,2024-11-08
75,Visita guiada por la ciudad de las artes con entradas,60.0,Valencia,2024-11-08
76,Excursión a las bodegas de requena,79.0,Valencia,2024-11-08
77,Valencia tourist card,15.0,Valencia,2024-11-08
78,Tour del santo grial,16.0,Valencia,2024-11-08
79,Tour de la guerra civil española,12.0,Valencia,2024-11-08
80,Visita de la sagrada familia sin colas,55.0,Barcelona,2024-11-01
81,Free tour por barcelona,0.0,Barcelona,2024-11-01
82,Excursión a montserrat con tren cremallera,57.0,Barcelona,2024-11-01
83,Visita guiada por el parque güell,25.6,Barcelona,2024-11-01
84,Traslados en barcelona,46.0,Barcelona,2024-11-01
85,Sagrada familia con subida a las torres,70.0,Barcelona,2024-11-01
86,Free tour de gaudí y la barcelona modernista,0.0,Barcelona,2024-11-01
87,Tour por la sagrada familia y el parque güell,89.0,Barcelona,2024-11-01
88,Excursión a andorra y aux les thermes,109.0,Barcelona,2024-11-01
89,Tour de barcelona al completo,49.5,Barcelona,2024-11-01
90,Entrada a la casa batlló,35.0,Barcelona,2024-11-01
91,Tarjeta esim civitatis españa,4.1,Barcelona,2024-11-01
92,"Excursión a gerona, figueras y cadaqués",55.0,Barcelona,2024-11-01
93,Autobús turístico de barcelona,33.0,Barcelona,2024-11-01
94,Free tour nocturno por el barrio gótico,0.0,Barcelona,2024-11-01
95,Tour de los misterios y leyendas de barcelona,14.0,Barcelona,2024-11-01
96,Entrada al spotify camp nou,16.0,Barcelona,2024-11-01
97,Excursión a montserrat + visita a una bodega,79.9,Barcelona,2024-11-01
98,Free tour de los misterios y leyendas del barrio gótico,0.0,Barcelona,2024-11-01
99,"Excursión a gerona, figueras y museo dalí",79.0,Barcelona,2024-11-01
100,Tour privado por barcelona ¡tú eliges!,160.0,Barcelona,2024-11-01
101,Entrada a la pedrera,29.0,Barcelona,2024-11-01
102,Tour en tuk tuk por barcelona,53.4,Barcelona,2024-11-01
103,Paseo en catamarán al atardecer con música en directo,25.5,Barcelona,2024-11-01
104,Teleférico de montjuïc,16.0,Barcelona,2024-11-01
105,Free tour por el parque güell,0.0,Barcelona,2024-11-01
106,Excursión a tarragona y sitges,98.5,Barcelona,2024-11-01
107,Entrada a l’aquàrium de barcelona,26.0,Barcelona,2024-11-01
108,Visita guiada por la basílica de santa maría del mar,15.0,Barcelona,2024-11-01
109,Espectáculo flamenco en el tablao cordobés,46.0,Barcelona,2024-11-01
110,Paseo en catamarán por barcelona,14.0,Barcelona,2024-11-01
111,Free tour por montjuïc,0.0,Barcelona,2024-11-01
112,Paseo en velero por barcelona,55.0,Barcelona,2024-11-01
113,Visita por el palau de la música catalana,22.0,Barcelona,2024-11-01
114,Free tour por el raval,0.0,Barcelona,2024-11-01
115,Oferta: montserrat + sagrada familia,133.0,Barcelona,2024-11-01
116,Free tour por la barceloneta y el parque de la ciudadela,0.0,Barcelona,2024-11-01
117,"Tour de dalí por cadaqués, figueras y portlligat",159.0,Barcelona,2024-11-01
118,Visita guiada por el spotify camp nou,51.0,Barcelona,2024-11-01
119,Entrada al recinto modernista de sant pau,17.0,Barcelona,2024-11-01
120,Visita de la sagrada familia sin colas,55.0,Barcelona,2024-11-08
121,Free tour por barcelona,0.0,Barcelona,2024-11-08
122,Excursión a montserrat con tren cremallera,57.0,Barcelona,2024-11-08
123,Visita guiada por el parque güell,25.6,Barcelona,2024-11-08
124,Traslados en barcelona,46.0,Barcelona,2024-11-08
125,Sagrada familia con subida a las torres,70.0,Barcelona,2024-11-08
126,Free tour de gaudí y la barcelona modernista,0.0,Barcelona,2024-11-08
127,Tour por la sagrada familia y el parque güell,89.0,Barcelona,2024-11-08
128,Excursión a andorra y aux les thermes,109.0,Barcelona,2024-11-08
129,Tour de barcelona al completo,49.5,Barcelona,2024-11-08
130,Entrada a la casa batlló,35.0,Barcelona,2024-11-08
131,Tarjeta esim civitatis españa,4.1,Barcelona,2024-11-08
132,"Excursión a gerona, figueras y cadaqués",55.0,Barcelona,2024-11-08
133,Autobús turístico de barcelona,33.0,Barcelona,2024-11-08
134,Free tour nocturno por el barrio gótico,0.0,Barcelona,2024-11-08
135,Tour de los misterios y leyendas de barcelona,14.0,Barcelona,2024-11-08
136,Entrada al spotify camp nou,16.0,Barcelona,2024-11-08
137,Excursión a montserrat + visita a una bodega,79.9,Barcelona,2024-11-08
138,Free tour de los misterios y leyendas del barrio gótico,0.0,Barcelona,2024-11-08
139,"Excursión a gerona, figueras y museo dalí",79.0,Barcelona,2024-11-08
140,Tour privado por barcelona ¡tú eliges!,160.0,Barcelona,2024-11-08
141,Entrada a la pedrera,29.0,Barcelona,2024-11-08
142,Tour en tuk tuk por barcelona,53.4,Barcelona,2024-11-08
143,Paseo en catamarán al atardecer con música en directo,25.5,Barcelona,2024-11-08
144,Teleférico de montjuïc,16.0,Barcelona,2024-11-08
145,Free tour por el parque güell,0.0,Barcelona,2024-11-08
146,Excursión a tarragona y sitges,98.5,Barcelona,2024-11-08
147,Entrada a l’aquàrium de barcelona,26.0,Barcelona,2024-11-08
148,Visita guiada por la basílica de santa maría del mar,15.0,Barcelona,2024-11-08
149,Espectáculo flamenco en el tablao cordobés,46.0,Barcelona,2024-11-08
150,Paseo en catamarán por barcelona,14.0,Barcelona,2024-11-08
151,Free tour por montjuïc,0.0,Barcelona,2024-11-08
152,Paseo en velero por barcelona,55.0,Barcelona,2024-11-08
153,Visita por el palau de la música catalana,22.0,Barcelona,2024-11-08
154,Free tour por el raval,0.0,Barcelona,2024-11-08
155,Oferta: montserrat + sagrada familia,133.0,Barcelona,2024-11-08
156,Free tour por la barceloneta y el parque de la ciudadela,0.0,Barcelona,2024-11-08
157,"Tour de dalí por cadaqués, figueras y portlligat",159.0,Barcelona,2024-11-08
158,Visita guiada por el spotify camp nou,51.0,Barcelona,2024-11-08
159,Entrada al recinto modernista de sant pau,17.0,Barcelona,2024-11-08
